College_ID,IQ,Prev_Sem_Result,CGPA,Academic_Performance,Internship_Experience,Extra_Curricular_Score,Communication_Skills,Projects_Completed,Placement,Gender,MBA_Percentage,SSC_Percentage,HSC_Percentage,Salary,placement_success,Specialization
CLG0030,107,6.61,6.28,8,No,8,8,4,No,Male,75.75,74.98,54.62,0,Unplaced,IT
CLG0061,97,5.52,5.37,8,No,7,8,0,No,Female,78.94,87.34,53.04,0,Unplaced,Operations
CLG0036,109,5.36,5.83,9,No,3,1,1,No,Male,94.18,78.13,80.21,0,Unplaced,HR
CLG0055,122,5.47,5.75,6,Yes,1,6,1,No,Male,73.6,54.17,98.31,0,Unplaced,Operations
CLG0004,96,7.91,7.69,7,No,8,10,2,No,Male,94.79,59.28,75.14,0,Unplaced,Operations
CLG0015,96,5.26,5.32,7,No,5,8,0,No,Female,63.53,60.97,52.58,0,Unplaced,Marketing
CLG0071,123,6.68,6.58,5,No,7,8,2,Yes,Male,91.07,62.89,61.06,1200000,High,HR
CLG0096,111,8.77,8.76,7,No,3,1,2,Yes,Male,93.9,78.27,62.24,1200000,High,HR
CLG0097,92,6.47,6.33,9,No,7,8,5,No,Male,67.27,75.2,66.89,0,Unplaced,HR
CLG0057,108,8.82,8.6,4,No,5,9,1,No,Female,77.21,60.16,52.18,0,Unplaced,Operations
CLG0063,93,8.73,8.9,2,Yes,5,6,0,No,Male,66.62,53.38,95.24,0,Unplaced,IT
CLG0077,93,6.23,6.51,8,No,5,7,4,No,Male,88.26,58.57,75.78,0,Unplaced,HR
CLG0064,103,8.64,9.01,7,Yes,8,6,1,No,Male,81.41,99.22,83.55,0,Unplaced,Operations
CLG0017,71,8.74,8.4,6,No,0,5,2,No,Male,85.41,73.43,53.36,0,Unplaced,Marketing
CLG0053,74,6.99,7.31,7,No,0,1,2,No,Female,67.86,93.37,52.71,0,Unplaced,IT
CLG0040,91,6.05,5.8,3,No,4,2,3,No,Male,68.47,92.44,79.32,0,Unplaced,Marketing
CLG0070,84,7.61,7.54,6,No,0,10,0,No,Female,61.66,75.58,94.36,0,Unplaced,IT
CLG0050,104,9.61,10.01,10,Yes,9,2,4,No,Female,72.88,85.33,76.42,0,Unplaced,Operations
CLG0068,86,8.2,8.15,7,No,8,9,4,Yes,Female,82.39,59.64,93.89,600000,Unplaced,Finance
CLG0015,78,5.86,5.56,7,Yes,3,6,2,No,Male,94.32,84.42,90.55,0,Unplaced,IT
CLG0072,121,8.41,8.07,5,Yes,1,3,3,Yes,Female,86.68,63.62,53.79,300000,Average,Marketing
CLG0034,96,7.14,7.11,3,Yes,2,3,3,No,Male,77.42,91.6,60.1,0,Unplaced,Operations
CLG0030,101,7.96,8.22,2,Yes,8,10,0,No,Female,98.12,54.19,82.89,0,Unplaced,IT
CLG0087,78,8.67,9.17,7,Yes,10,10,2,Yes,Female,88.77,88.66,72.18,1200000,High,Finance
CLG0073,91,7.57,7.86,4,Yes,7,2,2,No,Female,97.21,55.0,64.53,0,Unplaced,Finance
CLG0024,101,9.07,9.45,2,No,2,7,2,No,Female,81.1,94.06,70.93,0,Unplaced,HR
CLG0008,82,8.61,8.86,8,No,7,1,0,No,Female,70.36,65.21,72.26,0,Unplaced,HR
CLG0057,105,8.08,8.48,2,No,3,1,4,No,Female,62.11,82.72,95.53,0,Unplaced,Marketing
CLG0070,90,5.75,5.33,6,Yes,5,10,1,No,Female,89.04,74.38,55.17,0,Unplaced,IT
CLG0025,95,9.18,9.61,4,Yes,3,3,3,No,Female,64.85,68.32,63.99,0,Unplaced,IT
CLG0077,90,9.68,9.58,9,Yes,10,1,4,No,Male,72.11,82.27,76.88,0,Unplaced,HR
CLG0034,127,5.68,6.1,5,No,4,3,1,No,Male,81.3,97.38,84.91,0,Unplaced,IT
CLG0025,99,7.44,7.02,4,No,9,9,4,No,Female,82.58,52.06,81.53,0,Unplaced,IT
CLG0018,84,6.29,6.51,8,No,8,7,4,No,Female,84.02,95.94,97.08,0,Unplaced,Finance
CLG0073,112,8.77,9.01,3,Yes,1,9,4,Yes,Female,66.65,80.45,89.78,600000,Unplaced,HR
CLG0097,81,8.61,9.11,9,Yes,8,7,4,No,Male,75.19,90.37,77.85,0,Unplaced,Operations
CLG0070,103,5.7,5.97,8,Yes,2,9,2,No,Female,84.69,69.19,60.73,0,Unplaced,HR
CLG0014,70,9.39,9.27,8,No,4,3,4,No,Male,98.79,73.59,72.54,0,Unplaced,Operations
CLG0006,80,5.9,5.96,10,Yes,6,7,1,No,Male,89.11,93.44,84.67,0,Unplaced,Finance
CLG0082,102,8.99,8.86,5,No,1,6,1,No,Male,96.9,70.74,91.9,0,Unplaced,Marketing
CLG0090,111,7.28,6.98,1,No,3,2,3,No,Male,90.49,76.73,97.99,0,Unplaced,IT
CLG0036,102,6.64,6.39,10,No,0,6,5,No,Male,83.67,51.01,80.27,0,Unplaced,Finance
CLG0036,98,5.79,5.51,9,No,10,3,0,No,Female,67.68,57.93,76.35,0,Unplaced,IT
CLG0075,95,5.84,5.89,2,Yes,2,2,1,No,Female,86.67,82.08,50.88,0,Unplaced,Marketing
CLG0018,77,8.31,8.72,1,Yes,5,5,1,No,Female,84.94,85.85,53.6,0,Unplaced,Marketing
CLG0015,89,7.75,8.16,6,Yes,1,5,1,No,Female,84.1,79.13,57.81,0,Unplaced,Finance
CLG0094,93,5.61,5.16,1,Yes,7,2,1,No,Female,79.59,57.17,52.74,0,Unplaced,Marketing
CLG0089,115,5.56,5.14,10,Yes,6,3,0,No,Male,81.15,72.27,70.04,0,Unplaced,Operations
CLG0016,105,5.36,5.11,10,No,2,8,0,No,Female,73.38,67.75,66.84,0,Unplaced,Marketing
CLG0076,73,8.72,8.48,10,Yes,0,5,5,No,Female,80.77,74.78,81.87,0,Unplaced,IT
CLG0014,104,8.56,8.15,7,No,9,8,4,Yes,Male,67.9,93.52,76.78,800000,Unplaced,IT
CLG0047,94,5.29,5.18,7,Yes,3,10,5,No,Female,92.21,88.79,79.8,0,Unplaced,IT
CLG0054,89,7.8,7.89,1,Yes,3,4,1,No,Male,67.43,54.2,73.6,0,Unplaced,IT
CLG0058,109,5.42,5.5,10,No,10,4,1,No,Female,63.4,94.52,63.89,0,Unplaced,Operations
CLG0077,115,9.52,9.56,5,No,4,6,3,Yes,Male,77.45,73.59,97.64,800000,Unplaced,HR
CLG0030,113,9.54,9.38,3,No,2,10,3,Yes,Female,86.33,87.19,54.32,1200000,High,Finance
CLG0100,87,8.49,8.7,2,No,10,5,3,No,Female,77.51,57.0,96.94,0,Unplaced,IT
CLG0046,95,9.63,9.96,5,No,1,5,3,No,Male,71.07,83.54,65.56,0,Unplaced,Marketing
CLG0016,104,9.06,8.91,5,No,1,9,4,Yes,Male,82.33,61.82,75.63,800000,Unplaced,IT
CLG0001,114,9.14,8.73,2,Yes,7,6,2,Yes,Male,73.88,71.92,55.44,300000,Average,Marketing
CLG0041,92,7.85,7.65,6,No,6,3,3,No,Male,97.31,50.84,53.55,0,Unplaced,Marketing
CLG0093,97,6.53,6.17,7,No,0,4,3,No,Male,96.91,57.58,71.48,0,Unplaced,IT
CLG0027,83,6.09,6.06,1,No,8,9,0,No,Male,80.09,54.6,87.08,0,Unplaced,Operations
CLG0077,82,6.64,6.3,3,No,2,6,5,No,Male,73.12,61.99,63.47,0,Unplaced,Marketing
CLG0062,112,8.14,8.1,4,No,2,8,1,Yes,Male,89.49,55.0,78.12,1200000,High,Marketing
CLG0081,120,5.86,5.58,2,No,0,7,4,No,Female,61.47,84.6,63.93,0,Unplaced,IT
CLG0028,98,6.29,6.53,10,Yes,10,1,1,No,Female,78.99,51.45,69.43,0,Unplaced,Marketing
CLG0020,115,7.34,6.87,5,Yes,3,1,2,No,Male,73.45,80.89,95.32,0,Unplaced,Marketing
